p_chrom	p_start	p_end	p_name	gene	GeneID	transcript	exon_num	annotation_status	nearest_exon_distance	final_id
chr11	17405783	17406107	AMPL7166079071	NA	NA	NA	NA	RefSeq_match	688	unassigned_match_dist688bp
chr11	17406096	17406423	AMPL7164643706	NA	NA	NA	NA	RefSeq_match	372	unassigned_match_dist372bp
chr11	17406412	17406734	AMPL7164643707	NA	NA	NA	NA	RefSeq_match	61	unassigned_match_dist61bp
chr11	17406723	17406812	AMPL7164643708	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17406801	17407073	AMPL7164643709	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17407062	17407380	AMPL7154784818	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17407404	17407666	AMPL7154784820	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17407655	17407981	AMPL7154784821	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17407959	17408285	AMPL7154784822	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17408282	17408470	AMPL7160404152	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17408432	17408676	AMPL7154511208	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17408665	17408845	AMPL7154507944	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17408797	17409003	AMPL7154511209	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17408996	17409149	AMPL7154507946	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17409139	17409263	AMPL7153143024	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17409259	17409514	AMPL7154784823	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17409503	17409827	AMPL7154784826	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17409816	17410148	AMPL7154784827	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17410168	17410312	AMPL7153438981	KCNJ11	3767	NM_000525.4	1	exon	0	KCNJ11_exon1
chr11	17414304	17414602	AMPL7160431130	ABCC8	6833	NM_000352.6	39	exon	0	ABCC8_exon39
chr11	17414606	17414787	AMPL7162324985	ABCC8	6833	NM_000352.6	39	exon	0	ABCC8_exon39
chr11	17414974	17415295	AMPL7154784894	ABCC8	6833	NM_000352.6	38	exon	0	ABCC8_exon38
chr11	17415293	17415491	AMPL7153184690	ABCC8	6833	NM_000352.6	38	exon	0	ABCC8_exon38
chr11	17415724	17416050	AMPL7154784906	ABCC8	6833	NM_000352.6	37	exon	0	ABCC8_exon37
chr11	17416668	17416966	AMPL7154848230	ABCC8	6833	NM_000352.6	36	exon	0	ABCC8_exon36
chr11	17417104	17417385	AMPL7154784864	ABCC8	6833	NM_000352.6	35	exon	0	ABCC8_exon35
chr11	17417256	17417585	AMPL7154784840	ABCC8	6833	NM_000352.6	34	exon	0	ABCC8_exon34
chr11	17418304	17418631	AMPL7162304389	ABCC8	6833	NM_000352.6	33	exon	0	ABCC8_exon33
chr11	17418553	17418884	AMPL7163104701	ABCC8	6833	NM_000352.6	32	exon	0	ABCC8_exon32
chr11	17419737	17420034	AMPL7166063060	ABCC8	6833	NM_000352.6	30	exon	0	ABCC8_exon30
chr11	17424100	17424395	AMPL7156704300	ABCC8	6833	NM_000352.6	29	exon	0	ABCC8_exon29
chr11	17425977	17426263	AMPL7154848263	ABCC8	6833	NM_000352.6	28	exon	0	ABCC8_exon28
chr11	17428037	17428350	AMPL7154848280	ABCC8	6833	NM_000352.6	26	exon	0	ABCC8_exon26
chr11	17428315	17428644	AMPL7154784902	ABCC8	6833	NM_000352.6	25	exon	0	ABCC8_exon25
chr11	17428562	17428695	AMPL7154848286	ABCC8	6833	NM_000352.6	25	exon	0	ABCC8_exon25
chr11	17428804	17429131	AMPL7155897676	ABCC8	6833	NM_000352.6	24	exon	0	ABCC8_exon24
chr11	17429903	17430227	AMPL7166063070	ABCC8	6833	NM_000352.6	23	exon	0	ABCC8_exon23
chr11	17431910	17432225	AMPL7166063073	ABCC8	6833	NM_000352.6	22	exon	0	ABCC8_exon22
chr11	17434099	17434426	AMPL7161782187	ABCC8	6833	NM_000352.6	21	exon	0	ABCC8_exon21
chr11	17435790	17436119	AMPL7156578285	ABCC8	6833	NM_000352.6	19	exon	0	ABCC8_exon19
chr11	17436066	17436271	AMPL7157179522	ABCC8	6833	NM_000352.6	19	exon	0	ABCC8_exon19
chr11	17438295	17438620	AMPL7166063086	ABCC8	6833	NM_000352.6	17	exon	0	ABCC8_exon17
chr11	17448531	17448854	AMPL7166063089	ABCC8	6833	NM_000352.6	16	exon	0	ABCC8_exon16
chr11	17449265	17449580	AMPL7154848325	ABCC8	6833	NM_000352.6	15	exon	0	ABCC8_exon15
chr11	17449709	17450024	AMPL7155897678	ABCC8	6833	NM_000352.6	14	exon	0	ABCC8_exon14
chr11	17450074	17450284	AMPL7153184664	ABCC8	6833	NM_000352.6	13	exon	0	ABCC8_exon13
chr11	17452167	17452497	AMPL7154784866	ABCC8	6833	NM_000352.6	12	exon	0	ABCC8_exon12
chr11	17453680	17453960	AMPL7154848341	ABCC8	6833	NM_000352.6	11	exon	0	ABCC8_exon11
chr11	17464176	17464499	AMPL7154848343	ABCC8	6833	NM_000352.6	10	exon	0	ABCC8_exon10
chr11	17464518	17464847	AMPL7160431445	ABCC8	6833	NM_000352.6	9	exon	0	ABCC8_exon9
chr11	17465632	17465949	AMPL7164974172	ABCC8	6833	NM_000352.6;NM_001287174.3;NM_001351295.2;NM_001351296.2;NM_001351297.2;NR_147094.2	NA	gene_or_transcript_region	774	ABCC8_dist774bp
chr11	17469949	17470277	AMPL7154848368	ABCC8	6833	NM_000352.6	8	exon	0	ABCC8_exon8
chr11	17474533	17474856	AMPL7154907423	ABCC8	6833	NM_000352.6	7	exon	0	ABCC8_exon7
chr11	17482017	17482342	AMPL7166063112	ABCC8	6833	NM_000352.6	6	exon	0	ABCC8_exon6
chr11	17483079	17483409	AMPL7154848389	ABCC8	6833	NM_000352.6	5	exon	0	ABCC8_exon5
chr11	17484883	17485211	AMPL7166063117	ABCC8	6833	NM_000352.6	4	exon	0	ABCC8_exon4
chr11	17491568	17491872	AMPL7155897687	ABCC8	6833	NM_000352.6	3	exon	0	ABCC8_exon3
chr11	17496348	17496677	AMPL7154784883	ABCC8	6833	NM_000352.6	2	exon	0	ABCC8_exon2
chr11	17497893	17498198	AMPL7156645322	ABCC8	6833	NM_000352.6	1	exon	0	ABCC8_exon1
chr11	17498245	17498553	AMPL7159280200	ABCC8	6833	NM_000352.6	1	exon	0	ABCC8_exon1
chr11	99880105	99880414	AMPL7162509640	CNTN5	53942	NM_001243270.2;NM_001243271.2;NM_014361.4;NM_175566.2	NA	gene_or_transcript_region	7238	CNTN5_dist7238bp
chr12	121415713	121416041	AMPL7162957752	NA	NA	NA	NA	RefSeq_match	305	unassigned_match_dist305bp
chr12	121416009	121416307	AMPL7162957747	NA	NA	NA	NA	RefSeq_match	39	unassigned_match_dist39bp
chr12	121416296	121416570	AMPL7154784918	HNF1A	6927	NM_000545.8	1	exon	0	HNF1A_exon1
chr12	121416478	121416806	AMPL7154511318	HNF1A	6927	NM_000545.8	1	exon	0	HNF1A_exon1
chr12	121416642	121416869	AMPL7156685212	HNF1A	6927	NM_000545.8	1	exon	0	HNF1A_exon1
chr12	121416848	121417166	AMPL7160900267	HNF1A	6927	NM_000545.8	1	exon	0	HNF1A_exon1
chr12	121426392	121426709	AMPL7154511321	HNF1A	6927	NM_000545.8	2	exon	0	HNF1A_exon2
chr12	121426675	121426923	AMPL7154511322	HNF1A	6927	NM_000545.8	2	exon	0	HNF1A_exon2
chr12	121431254	121431578	AMPL7154511305	HNF1A	6927	NM_000545.8	3	exon	0	HNF1A_exon3
chr12	121431963	121432272	AMPL7154511289	HNF1A	6927	NM_000545.8	4	exon	0	HNF1A_exon4
chr12	121433950	121434268	AMPL7154392337	HNF1A	6927	NM_000545.8	5	exon	0	HNF1A_exon5
chr12	121434108	121434438	AMPL7160391273	HNF1A	6927	NM_000545.8	5	exon	0	HNF1A_exon5
chr12	121434413	121434639	AMPL7160391274	HNF1A	6927	NM_000545.8	6	exon	0	HNF1A_exon6
chr12	121435076	121435309	AMPL7163238596	HNF1A	6927	NM_000545.8	7	exon	0	HNF1A_exon7
chr12	121435303	121435484	AMPL7163238597	HNF1A	6927	NM_000545.8	7	exon	0	HNF1A_exon7
chr12	121436953	121437283	AMPL7154511296	HNF1A	6927	NM_000545.8	8	exon	0	HNF1A_exon8
chr12	121437138	121437474	AMPL7156686801	HNF1A	6927	NM_000545.8	9	exon	0	HNF1A_exon9
chr12	121437358	121437592	AMPL7165219025	HNF1A	6927	NM_000545.8	9	exon	0	HNF1A_exon9
chr12	121438649	121438980	AMPL7154511317	C12orf43	64897	NM_022895.3	6	exon	0	C12orf43_exon6
chr12	121438967	121439264	AMPL7154784910	HNF1A	6927	NM_000545.8	10	exon	0	HNF1A_exon10
chr12	121439250	121439535	AMPL7154784911	HNF1A	6927	NM_000545.8	10	exon	0	HNF1A_exon10
chr12	121439524	121439785	AMPL7154784912	HNF1A	6927	NM_000545.8	10	exon	0	HNF1A_exon10
chr12	121439774	121440004	AMPL7154783021	HNF1A	6927	NM_000545.8	10	exon	0	HNF1A_exon10
chr12	121439987	121440308	AMPL7159709172	HNF1A	6927	NM_000545.8	10	exon	0	HNF1A_exon10
chr12	121440297	121440554	AMPL7159709205	C12orf43	64897	NM_022895.3	6	exon	0	C12orf43_exon6
chr13	28494140	28494325	AMPL7153204443	PDX1	3651	NM_000209.4	1	exon	0	PDX1_exon1
chr13	28494322	28494649	AMPL7155897697	PDX1	3651	NM_000209.4	1	exon	0	PDX1_exon1
chr13	28494643	28494831	AMPL7160575713	PDX1	3651	NM_000209.4	1	exon	0	PDX1_exon1
chr13	28498222	28498547	AMPL7154785434	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28498536	28498827	AMPL7154785435	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28498795	28499080	AMPL7154785436	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28499069	28499372	AMPL7163451859	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28499651	28499816	AMPL7154785447	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28499805	28500083	AMPL7154785448	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28500071	28500391	AMPL7154785449	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	28500377	28500674	AMPL7154785441	PDX1	3651	NM_000209.4	2	exon	0	PDX1_exon2
chr13	54060777	54061030	AMPL7162509463	NA	NA	NA	NA	region_only	328524	intergenic_dist328524bp
chr16	81970259	81970580	AMPL7162509464	PLCG2	5336	NM_001425749.1;NM_001425750.1;NM_001425751.1;NM_002661.5	NA	gene_or_transcript_region	277	PLCG2_dist277bp
chr17	36046128	36046451	AMPL7156929173	HNF1B	6928	NM_000458.4	9	exon	0	HNF1B_exon9
chr17	36046440	36046753	AMPL7156929174	HNF1B	6928	NM_000458.4	9	exon	0	HNF1B_exon9
chr17	36046742	36046991	AMPL7156929175	HNF1B	6928	NM_000458.4	9	exon	0	HNF1B_exon9
chr17	36046980	36047157	AMPL7156928962	HNF1B	6928	NM_000458.4	9	exon	0	HNF1B_exon9
chr17	36047146	36047449	AMPL7154811257	HNF1B	6928	NM_000458.4	9	exon	0	HNF1B_exon9
chr17	36058951	36059277	AMPL7154511134	HNF1B	6928	NM_000458.4	8	exon	0	HNF1B_exon8
chr17	36060907	36061236	AMPL7154511203	HNF1B	6928	NM_000458.4	7	exon	0	HNF1B_exon7
chr17	36064832	36065152	AMPL7154511147	HNF1B	6928	NM_000458.4	6	exon	0	HNF1B_exon6
chr17	36070430	36070740	AMPL7154511183	HNF1B	6928	NM_000458.4	5	exon	0	HNF1B_exon5
chr17	36091538	36091867	AMPL7160391283	HNF1B	6928	NM_000458.4	4	exon	0	HNF1B_exon4
chr17	36093515	36093845	AMPL7154511194	HNF1B	6928	NM_000458.4	3	exon	0	HNF1B_exon3
chr17	36099404	36099701	AMPL7154511163	HNF1B	6928	NM_000458.4	2	exon	0	HNF1B_exon2
chr17	36104372	36104675	AMPL7154511140	HNF1B	6928	NM_000458.4	1	exon	0	HNF1B_exon1
chr17	36104620	36104876	AMPL7157595454	HNF1B	6928	NM_000458.4	1	exon	0	HNF1B_exon1
chr17	36104866	36105089	AMPL7159290401	HNF1B	6928	NM_000458.4	1	exon	0	HNF1B_exon1
chr17	36105061	36105300	AMPL7156293180	NA	NA	NA	NA	RefSeq_match	12	unassigned_match_dist12bp
chr18	76089758	76090078	AMPL7161217581	NA	NA	NA	NA	region_only	384076	intergenic_dist384076bp
chr19	7112025	7112352	AMPL7155358459	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7112341	7112652	AMPL7155358460	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7112641	7112935	AMPL7155358461	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7112924	7113171	AMPL7155358462	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7113160	7113483	AMPL7155358463	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7113472	7113794	AMPL7155358464	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7113783	7114114	AMPL7155358465	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7114103	7114358	AMPL7155358466	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7114347	7114591	AMPL7155358467	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7114580	7114890	AMPL7155358468	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7114879	7115022	AMPL7155327302	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7115011	7115297	AMPL7157868485	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7115286	7115610	AMPL7157868486	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7115599	7115872	AMPL7157868487	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7115861	7116183	AMPL7155358473	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7116172	7116371	AMPL7155358474	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7116360	7116683	AMPL7155358475	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7116672	7116973	AMPL7155358476	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7116962	7117285	AMPL7160391285	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7117266	7117516	AMPL7155358478	INSR	3643	NM_000208.4	22	exon	0	INSR_exon22
chr19	7119297	7119622	AMPL7154848956	INSR	3643	NM_000208.4	21	exon	0	INSR_exon21
chr19	7120591	7120894	AMPL7154848957	INSR	3643	NM_000208.4	20	exon	0	INSR_exon20
chr19	7122582	7122905	AMPL7154848958	INSR	3643	NM_000208.4	19	exon	0	INSR_exon19
chr19	7122755	7123075	AMPL7154848959	INSR	3643	NM_000208.4	18	exon	0	INSR_exon18
chr19	7125139	7125468	AMPL7154848960	INSR	3643	NM_000208.4	17	exon	0	INSR_exon17
chr19	7125431	7125539	AMPL7154848961	INSR	3643	NM_000208.4	17	exon	0	INSR_exon17
chr19	7126451	7126777	AMPL7154848962	INSR	3643	NM_000208.4	16	exon	0	INSR_exon16
chr19	7128762	7129086	AMPL7156813990	INSR	3643	NM_000208.4	15	exon	0	INSR_exon15
chr19	7132062	7132182	AMPL7154848965	INSR	3643	NM_000208.4	14	exon	0	INSR_exon14
chr19	7132171	7132440	AMPL7154848966	INSR	3643	NM_000208.4	14	exon	0	INSR_exon14
chr19	7141594	7141920	AMPL7154848967	INSR	3643	NM_000208.4	13	exon	0	INSR_exon13
chr19	7142782	7143109	AMPL7154848968	INSR	3643	NM_000208.4	12	exon	0	INSR_exon12
chr19	7150357	7150683	AMPL7154848982	INSR	3643	NM_000208.4	11	exon	0	INSR_exon11
chr19	7152669	7152965	AMPL7154848969	INSR	3643	NM_000208.4	10	exon	0	INSR_exon10
chr19	7162973	7163283	AMPL7156813988	INSR	3643	NM_000208.4	9	exon	0	INSR_exon9
chr19	7166102	7166426	AMPL7154848971	INSR	3643	NM_000208.4	8	exon	0	INSR_exon8
chr19	7167920	7168214	AMPL7154848972	INSR	3643	NM_000208.4	7	exon	0	INSR_exon7
chr19	7170239	7170564	AMPL7154848973	INSR	3643	NM_000208.4	6	exon	0	INSR_exon6
chr19	7170553	7170769	AMPL7153384405	INSR	3643	NM_000208.4	6	exon	0	INSR_exon6
chr19	7172260	7172486	AMPL7154848974	INSR	3643	NM_000208.4	5	exon	0	INSR_exon5
chr19	7174491	7174819	AMPL7154848975	INSR	3643	NM_000208.4	4	exon	0	INSR_exon4
chr19	7184114	7184413	AMPL7156813989	INSR	3643	NM_000208.4	3	exon	0	INSR_exon3
chr19	7184396	7184722	AMPL7154848977	INSR	3643	NM_000208.4	3	exon	0	INSR_exon3
chr19	7267338	7267618	AMPL7154848978	INSR	3643	NM_000208.4	2	exon	0	INSR_exon2
chr19	7267607	7267907	AMPL7154848979	INSR	3643	NM_000208.4	2	exon	0	INSR_exon2
chr19	7293673	7293920	AMPL7157868537	INSR	3643	NM_000208.4	1	exon	0	INSR_exon1
chr19	7293938	7294085	AMPL7163370983	INSR	3643	NM_000208.4	1	exon	0	INSR_exon1
chr19	7294018	7294277	AMPL7157868536	INSR	3643	NM_000208.4	1	exon	0	INSR_exon1
chr19	22729451	22729773	AMPL7161217582	NA	NA	NA	NA	region_only	13156	intergenic_dist13156bp
chr2	10186145	10186471	AMPL7166063149	KLF11	8462	NM_003597.5	2	exon	0	KLF11_exon2
chr2	10187582	10187845	AMPL7154511829	KLF11	8462	NM_003597.5	3	exon	0	KLF11_exon3
chr2	10187834	10188089	AMPL7154511830	KLF11	8462	NM_003597.5	3	exon	0	KLF11_exon3
chr2	10188078	10188345	AMPL7154511831	KLF11	8462	NM_003597.5	3	exon	0	KLF11_exon3
chr2	10188334	10188615	AMPL7154511832	KLF11	8462	NM_003597.5	3	exon	0	KLF11_exon3
chr2	10188604	10188763	AMPL7154508584	KLF11	8462	NM_003597.5	3	exon	0	KLF11_exon3
chr2	169757468	169757785	AMPL7157909474	NA	NA	NA	NA	RefSeq_match	16	unassigned_match_dist16bp
chr2	169757774	169758090	AMPL7157909475	G6PC2	57818	NM_021176.3	1	exon	0	G6PC2_exon1
chr2	169758864	169759156	AMPL7157409249	G6PC2	57818	NM_021176.3	2	exon	0	G6PC2_exon2
chr2	169760896	169761205	AMPL7157409248	G6PC2	57818	NM_021176.3	3	exon	0	G6PC2_exon3
chr2	169763072	169763388	AMPL7155920012	G6PC2	57818	NM_021176.3	4	exon	0	G6PC2_exon4
chr2	169763994	169764316	AMPL7160391731	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169764305	169764599	AMPL7157410211	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169764588	169764912	AMPL7157410212	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169764901	169765156	AMPL7157410213	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169765145	169765432	AMPL7157410214	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169765411	169765633	AMPL7157410215	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169765622	169765906	AMPL7157410216	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169765895	169766165	AMPL7157410217	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	169766154	169766306	AMPL7157407457	G6PC2	57818	NM_021176.3	5	exon	0	G6PC2_exon5
chr2	182542817	182543135	AMPL7166063199	NEUROD1	4760	NM_002500.5	2	exon	0	NEUROD1_exon2
chr2	182543147	182543429	AMPL7166063203	NEUROD1	4760	NM_002500.5	2	exon	0	NEUROD1_exon2
chr2	182544951	182545273	AMPL7166063204	NEUROD1	4760	NM_002500.5	1	exon	0	NEUROD1_exon1
chr2	228092279	228092569	AMPL7161217589	MFF-DT	654841	NR_102371.1	12	exon	0	MFF-DT_exon12
chr20	21492346	21492670	AMPL7155244895	NKX2-2	4821	NM_002509.4	2	exon	0	NKX2-2_exon2
chr20	42984301	42984635	AMPL7154511258	HNF4A	3172	NM_175914.5	1	exon	0	HNF4A_exon1
chr20	43019033	43019361	AMPL7155383181	HNF4A	3172	NM_001287182.2	2	exon	0	HNF4A_exon2
chr20	43029872	43030186	AMPL7155383182	HNF4A	3172	NM_001258355.2	1	exon	0	HNF4A_exon1
chr20	43034656	43034931	AMPL7154511246	HNF4A	3172	NM_175914.5	2	exon	0	HNF4A_exon2
chr20	43035898	43036229	AMPL7154511286	HNF4A	3172	NM_175914.5	3	exon	0	HNF4A_exon3
chr20	43042273	43042550	AMPL7154511230	HNF4A	3172	NM_175914.5	4	exon	0	HNF4A_exon4
chr20	43043128	43043375	AMPL7154511288	HNF4A	3172	NM_175914.5	5	exon	0	HNF4A_exon5
chr20	43046889	43047220	AMPL7154511234	HNF4A	3172	NM_175914.5	6	exon	0	HNF4A_exon6
chr20	43048288	43048588	AMPL7154511240	HNF4A	3172	NM_175914.5	7	exon	0	HNF4A_exon7
chr20	43052534	43052851	AMPL7154511236	HNF4A	3172	NM_175914.5	8	exon	0	HNF4A_exon8
chr20	43052840	43053041	AMPL7154507962	HNF4A	3172	NM_175914.5	8	exon	0	HNF4A_exon8
chr20	43056888	43057213	AMPL7154511260	HNF4A	3172	NM_175914.5	9	exon	0	HNF4A_exon9
chr20	43058125	43058348	AMPL7153185008	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43058309	43058622	AMPL7154785555	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43058593	43058880	AMPL7154785556	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43058900	43059211	AMPL7156929232	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43059195	43059494	AMPL7156929233	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43059483	43059703	AMPL7154783263	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43059692	43059993	AMPL7154785561	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43059982	43060285	AMPL7154785562	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43060274	43060475	AMPL7154783265	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43060464	43060769	AMPL7154785563	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43060758	43061042	AMPL7154785564	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43061031	43061210	AMPL7155383183	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	43061199	43061521	AMPL7155383184	HNF4A	3172	NM_175914.5	10	exon	0	HNF4A_exon10
chr20	44034821	44035099	AMPL7166063214	DBNDD2	55861	NM_018478.3	1	exon	0	DBNDD2_exon1
chr21	43062727	43063046	AMPL7162509466	NA	NA	NA	NA	region_only	36416	intergenic_dist36416bp
chr4	108911166	108911349	AMPL7153267091	HADH	3033	NM_005327.7	1	exon	0	HADH_exon1
chr4	108930762	108931088	AMPL7154849056	HADH	3033	NM_005327.7	2	exon	0	HADH_exon2
chr4	108935507	108935828	AMPL7155897531	HADH	3033	NM_005327.7	3	exon	0	HADH_exon3
chr4	108944491	108944790	AMPL7155897546	HADH	3033	NM_005327.7	5	exon	0	HADH_exon5
chr4	108945043	108945358	AMPL7157932021	HADH	3033	NM_001184705.4;NM_001331027.2;NM_005327.7	NA	gene_or_transcript_region	325	HADH_dist325bp
chr4	108948710	108949034	AMPL7154849060	HADH	3033	NM_005327.7	6	exon	0	HADH_exon6
chr4	108953401	108953718	AMPL7154849063	HADH	3033	NM_001184705.4	7	exon	0	HADH_exon7
chr4	108954222	108954550	AMPL7154849061	HADH	3033	NM_005327.7	7	exon	0	HADH_exon7
chr5	2447959	2448225	AMPL7162509467	NA	NA	NA	NA	region_only	135645	intergenic_dist135645bp
chr6	29640271	29640598	AMPL7154849303	ZFP57	346171	NM_001109809.5	5	exon	0	ZFP57_exon5
